id	iso	url
140	CAF	http://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Central_African_Republic.svg
144	LKA	http://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Sri_Lanka.svg
148	TCD	http://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg
152	CHL	http://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg
156	CHN	http://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People's_Republic_of_China.svg
158	CHN	http://upload.wikimedia.org/wikipedia/commons/7/72/Flag_of_the_Republic_of_China.svg
162	CXR	http://upload.wikimedia.org/wikipedia/commons/6/67/Flag_of_Christmas_Island.svg
166	CCK	http://upload.wikimedia.org/wikipedia/commons/7/74/Flag_of_the_Cocos_(Keeling)_Islands.svg
170	COL	http://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg
174	COM	http://upload.wikimedia.org/wikipedia/commons/9/94/Flag_of_the_Comoros.svg
175	MYT	http://upload.wikimedia.org/wikipedia/commons/4/4a/Flag_of_Mayotte_(local).svg
178	COD	http://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg
180	COD	http://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg
184	COK	http://upload.wikimedia.org/wikipedia/commons/3/35/Flag_of_the_Cook_Islands.svg
188	CRI	http://upload.wikimedia.org/wikipedia/commons/f/f2/Flag_of_Costa_Rica.svg
191	HRV	http://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg
192	CUB	http://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg
196	CYP	http://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Cyprus.svg
203	CZE	http://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg
204	BEN	http://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg
208	DNK	http://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg
212	DMA	http://upload.wikimedia.org/wikipedia/commons/c/c4/Flag_of_Dominica.svg
214	DOM	http://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg
218	ECU	http://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg
222	SLV	http://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_El_Salvador.svg
226	GNQ	http://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Equatorial_Guinea.svg
231	ETH	http://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
232	ERI	http://upload.wikimedia.org/wikipedia/commons/2/29/Flag_of_Eritrea.svg
233	EST	http://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg
234	FRO	http://upload.wikimedia.org/wikipedia/commons/3/3c/Flag_of_the_Faroe_Islands.svg
238	FLK	http://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_the_Falkland_Islands.svg
239	SGS	http://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_South_Georgia_and_the_South_Sandwich_Islands.svg
242	FJI	http://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Fiji.svg
246	FIN	http://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg
248	ALA	http://upload.wikimedia.org/wikipedia/commons/5/52/Flag_of_Åland.svg
250	FRA	http://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg
254	GUF	http://upload.wikimedia.org/wikipedia/commons/2/29/Flag_of_French_Guiana.svg
258	PYF	http://upload.wikimedia.org/wikipedia/commons/d/db/Flag_of_French_Polynesia.svg
260	ATF	http://upload.wikimedia.org/wikipedia/commons/a/a7/Flag_of_the_French_Southern_and_Antarctic_Lands.svg
262	DJI	http://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_Djibouti.svg
266	GAB	http://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_Gabon.svg
268	GEO	http://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg
270	GMB	http://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_The_Gambia.svg
275	PSE	http://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Palestine.svg
276	DEU	http://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Germany.svg
288	GHA	http://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg
292	GIB	http://upload.wikimedia.org/wikipedia/commons/0/02/Flag_of_Gibraltar.svg
296	KIR	http://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kiribati.svg
300	GRC	http://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg
304	GRL	http://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_Greenland.svg
308	GRD	http://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Grenada.svg
